architecture,depth,exact_trajectory_correct,example_id,final_correct,invalid_call,machine,model_forwards,nontermination,one_call_edge_coverage,per_transition_accuracy,post_tool_answer_correct,seed,selected_edge_valid,stop_emitted,termination_correct,tool_calls
eight_heads,6,,4,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,5,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,6,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,7,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,8,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,9,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,10,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,11,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,12,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,13,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,14,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,15,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,16,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,17,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,18,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,19,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,20,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,21,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,22,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,23,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,24,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,25,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,26,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,27,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,28,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,29,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,30,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,31,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,32,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,33,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,34,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,35,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,36,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,37,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,38,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,39,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,40,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,41,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,42,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,43,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,44,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,45,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,46,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,47,1,1,M3,2,0,0.0,,1,37,0,,,1
eight_heads,6,,48,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,49,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,50,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,51,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,52,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,53,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,54,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,55,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,56,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,57,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,58,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,59,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,60,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,61,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,6,,62,0,0,M3,2,0,0.16666666666666666,,0,37,1,,,1
eight_heads,6,,63,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,0,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,1,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,2,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,3,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,4,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,5,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,6,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,7,0,0,M3,2,0,0.125,,0,37,1,,,1
eight_heads,8,,8,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,9,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,10,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,11,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,12,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,13,1,1,M3,2,0,0.0,,1,37,0,,,1
eight_heads,8,,14,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,15,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,16,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,17,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,18,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,19,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,20,0,0,M3,2,0,0.125,,0,37,1,,,1
eight_heads,8,,21,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,22,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,23,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,24,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,25,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,26,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,27,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,28,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,29,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,30,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,31,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,32,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,33,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,34,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,35,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,36,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,37,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,38,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,39,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,40,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,41,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,42,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,43,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,44,0,0,M3,2,0,0.125,,0,37,1,,,1
eight_heads,8,,45,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,46,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,47,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,48,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,49,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,50,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,51,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,52,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,53,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,54,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,55,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,56,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,57,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,58,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,59,0,0,M3,2,0,0.125,,0,37,1,,,1
eight_heads,8,,60,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,61,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,8,,62,0,0,M3,2,0,0.125,,0,37,1,,,1
eight_heads,8,,63,0,1,M3,2,0,0.0,,0,37,0,,,1
eight_heads,1,1,0,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,1,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,2,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,3,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,4,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,5,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,6,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,7,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,8,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,9,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,10,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,11,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,12,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,13,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,14,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,15,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,16,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,17,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,18,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,19,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,20,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,21,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,22,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,23,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,24,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,25,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,26,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,27,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,28,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,29,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,30,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,31,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,32,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,33,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,34,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,35,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,36,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,37,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,38,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,39,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,40,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,41,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,42,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,43,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,44,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,45,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,46,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,47,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,48,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,49,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,50,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,51,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,52,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,53,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,54,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,55,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,56,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,57,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,58,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,59,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,60,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,61,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,62,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,1,1,63,1,0,M4,2,0,,1.0,,11,,1,1,1
eight_heads,2,1,0,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,1,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,2,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,3,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,4,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,5,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,6,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,7,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,8,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,9,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,10,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,11,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,12,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,13,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,14,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,15,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,16,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,17,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,18,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,19,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,20,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,21,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,22,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,23,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,24,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,25,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,26,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,27,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,28,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,29,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,30,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,31,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,32,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,33,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,34,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,35,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,36,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,37,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,38,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,39,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,40,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,41,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,42,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,43,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,44,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,45,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,46,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,47,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,48,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,49,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,50,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,51,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,52,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,53,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,54,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,55,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,56,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,57,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,58,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,59,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,60,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,61,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,62,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,2,1,63,1,0,M4,3,0,,1.0,,11,,1,1,2
eight_heads,3,1,0,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,1,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,2,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,3,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,4,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,5,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,6,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,7,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,8,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,9,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,10,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,11,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,12,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,13,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,14,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,15,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,16,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,17,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,18,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,19,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,20,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,21,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,22,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,23,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,24,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,25,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,26,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,27,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,28,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,29,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,30,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,31,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,32,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,33,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,34,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,35,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,36,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,37,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,38,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,39,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,40,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,41,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,42,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,43,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,44,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,45,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,46,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,47,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,48,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,49,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,50,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,51,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,52,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,53,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,54,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,55,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,56,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,57,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,58,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,59,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,60,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,61,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,62,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,3,1,63,1,0,M4,4,0,,1.0,,11,,1,1,3
eight_heads,4,0,0,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,1,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,2,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,3,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,4,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,5,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,6,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,7,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,8,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,9,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,10,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,11,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,12,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,13,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,14,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,15,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,16,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,17,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,18,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,19,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,20,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,21,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,22,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,23,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,24,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,25,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,26,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,27,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,28,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,29,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,30,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,31,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,32,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,33,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,34,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,35,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,36,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,37,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,38,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,39,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,40,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,41,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,42,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,43,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,44,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,45,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,46,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,47,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,48,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,49,0,1,M4,1,0,,0.0,,11,,0,0,1
eight_heads,4,0,50,0,1,M4,1,0,,0.0,,11,,0,0,1
